epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.841,2.00827,3.46432,1.68331,0.00624,0.79348,0.08845,0.0569,1.63925,3.83426,1.34914,0.00032,0.00032,0.00032
2,64.1,1.82966,2.0676,1.44578,1,0.05022,0.12713,0.06721,1.79526,3.77498,1.40595,0.000653466,0.000653466,0.000653466
3,97.234,1.79058,1.77773,1.40693,0.0065,0.82609,0.03423,0.01041,1.78529,3.91156,1.54529,0.0009802,0.0009802,0.0009802
4,128.027,1.88157,1.82079,1.4851,0.01601,0.27174,0.06726,0.03071,1.86185,3.76896,1.5711,0.0013002,0.0013002,0.0013002
5,160.349,1.81047,1.73255,1.48839,0.45378,0.17391,0.22331,0.09835,1.9055,3.35805,1.82152,0.00161347,0.00161347,0.00161347
6,184.384,1.78345,1.62689,1.44145,0.35384,0.15217,0.12038,0.05861,2.00759,3.56898,1.72106,0.001901,0.001901,0.001901
7,212.413,1.74961,1.55766,1.41887,0.13293,0.33696,0.1534,0.07115,2.28783,3.28835,1.85477,0.0018812,0.0018812,0.0018812
8,240.703,1.82803,1.4864,1.4715,0.13778,0.2866,0.09993,0.05149,2.10606,5.36516,1.76497,0.0018614,0.0018614,0.0018614
9,268.677,1.82907,1.42072,1.43426,0.36995,0.34783,0.33581,0.17339,1.81635,2.80626,1.47741,0.0018416,0.0018416,0.0018416
10,295.149,1.73978,1.37591,1.39529,0.63993,0.61957,0.67287,0.30456,1.83082,1.90996,1.52456,0.0018218,0.0018218,0.0018218
11,323.089,1.75187,1.33118,1.40417,0.88197,0.73103,0.86584,0.42793,1.83985,1.59232,1.52003,0.001802,0.001802,0.001802
12,343.048,1.69946,1.30046,1.40098,0.78754,0.80435,0.80597,0.37915,1.86365,1.57359,1.51197,0.0017822,0.0017822,0.0017822
13,363.085,1.73703,1.24628,1.3591,0.68525,0.78094,0.76394,0.33761,1.92742,1.74879,1.50312,0.0017624,0.0017624,0.0017624
14,383.987,1.70715,1.21227,1.37168,0.77592,0.76087,0.80549,0.38977,1.94068,1.77933,1.61519,0.0017426,0.0017426,0.0017426
15,406.815,1.71853,1.19226,1.39539,0.88748,0.85735,0.88869,0.46102,1.76533,1.27598,1.47549,0.0017228,0.0017228,0.0017228
16,429.87,1.68765,1.1137,1.3921,0.7616,0.76397,0.79523,0.41684,1.7649,1.33554,1.47952,0.001703,0.001703,0.001703
17,451.56,1.66576,1.13966,1.33112,0.88828,0.81522,0.87011,0.43346,1.74262,1.23071,1.43793,0.0016832,0.0016832,0.0016832
18,473.718,1.65975,1.08243,1.35265,0.78976,0.81662,0.84978,0.44281,1.68028,1.26486,1.40314,0.0016634,0.0016634,0.0016634
19,494.766,1.55934,1.02193,1.32608,0.92122,0.80435,0.88686,0.45291,1.69683,1.1249,1.40057,0.0016436,0.0016436,0.0016436
20,516.604,1.69484,1.07204,1.35311,0.86643,0.8461,0.90051,0.45154,1.75101,1.36475,1.4273,0.0016238,0.0016238,0.0016238
21,538.067,1.65049,1.03761,1.36414,0.86155,0.84783,0.89324,0.4456,1.75184,1.04584,1.45243,0.001604,0.001604,0.001604
22,560.67,1.60739,1.00435,1.3355,0.81365,0.86957,0.89491,0.46089,1.57346,0.98939,1.34473,0.0015842,0.0015842,0.0015842
23,582.477,1.64891,1.01536,1.31038,0.86963,0.79762,0.87208,0.44917,1.68769,1.10144,1.4167,0.0015644,0.0015644,0.0015644
24,603.949,1.66517,1.04099,1.37011,0.87311,0.81522,0.85585,0.39911,1.98377,1.21288,1.55806,0.0015446,0.0015446,0.0015446
25,625.177,1.63306,1.00927,1.30637,0.88015,0.79824,0.8801,0.43078,1.95507,1.19144,1.57388,0.0015248,0.0015248,0.0015248
26,646.176,1.6247,0.96111,1.34011,0.83043,0.73913,0.85077,0.43984,1.77862,1.12379,1.44422,0.001505,0.001505,0.001505
27,667.016,1.61392,0.9449,1.28062,0.86971,0.80435,0.87125,0.42727,1.79354,1.12683,1.44754,0.0014852,0.0014852,0.0014852
28,690.304,1.55853,0.90401,1.30413,0.89149,0.80374,0.87729,0.43801,1.81151,1.06204,1.47464,0.0014654,0.0014654,0.0014654
29,711.705,1.56364,0.90694,1.30504,0.91322,0.80075,0.87466,0.44839,1.70128,0.95358,1.37809,0.0014456,0.0014456,0.0014456
30,734.526,1.55401,0.89335,1.2933,0.86195,0.76087,0.85872,0.44343,1.69593,0.89335,1.37001,0.0014258,0.0014258,0.0014258
31,757.587,1.57261,0.89908,1.29143,0.87393,0.82887,0.89593,0.43662,1.8797,0.899,1.49081,0.001406,0.001406,0.001406
32,779.78,1.56961,0.88448,1.30484,0.91249,0.8587,0.91948,0.46096,1.82837,0.84907,1.46857,0.0013862,0.0013862,0.0013862
33,801.28,1.54114,0.87359,1.25395,0.8805,0.84783,0.89408,0.43302,1.98519,0.89712,1.58091,0.0013664,0.0013664,0.0013664
34,826.959,1.55321,0.88458,1.25079,0.9062,0.86957,0.91069,0.45165,1.81624,0.87998,1.46064,0.0013466,0.0013466,0.0013466
35,849.778,1.5169,0.86841,1.26135,0.93923,0.83999,0.93612,0.47236,1.81603,0.86388,1.46844,0.0013268,0.0013268,0.0013268
36,871.876,1.47729,0.85563,1.26052,0.86601,0.84304,0.92593,0.43524,1.82176,0.8434,1.46663,0.001307,0.001307,0.001307
37,893.791,1.49897,0.83158,1.23957,0.92131,0.82609,0.9086,0.46422,1.82383,0.86275,1.49577,0.0012872,0.0012872,0.0012872
38,917.199,1.46263,0.83807,1.24414,0.82256,0.85661,0.83864,0.36797,2.13741,1.12764,1.73579,0.0012674,0.0012674,0.0012674
39,941.097,1.5045,0.84585,1.26437,0.95038,0.82609,0.93065,0.46314,1.85785,0.82308,1.49105,0.0012476,0.0012476,0.0012476
40,967.094,1.50207,0.83064,1.24956,0.89866,0.86748,0.93388,0.44735,1.83823,0.83506,1.4671,0.0012278,0.0012278,0.0012278
41,990.767,1.49064,0.82534,1.24667,0.92295,0.91141,0.94701,0.46321,1.93307,0.82232,1.56633,0.001208,0.001208,0.001208
42,1012.31,1.46699,0.80464,1.2332,0.88339,0.92391,0.93581,0.47979,1.80502,0.80465,1.47833,0.0011882,0.0011882,0.0011882
43,1034.12,1.4734,0.79565,1.24848,0.89306,0.8587,0.92643,0.47441,1.85912,0.81099,1.48503,0.0011684,0.0011684,0.0011684
44,1055.41,1.45318,0.77098,1.23958,0.89647,0.84783,0.92812,0.46648,1.85473,0.85059,1.49303,0.0011486,0.0011486,0.0011486
45,1080.38,1.41824,0.76652,1.17785,0.88337,0.8913,0.92114,0.47614,1.76244,0.89643,1.42596,0.0011288,0.0011288,0.0011288
46,1103.97,1.47009,0.78771,1.21192,0.86841,0.86081,0.91292,0.45916,1.84329,0.92791,1.49779,0.001109,0.001109,0.001109
47,1126.69,1.43585,0.78906,1.2036,0.90117,0.84783,0.92318,0.48273,1.76257,0.85302,1.42498,0.0010892,0.0010892,0.0010892
48,1149.82,1.42952,0.75526,1.22041,0.8786,0.86957,0.90813,0.47322,1.71266,0.79695,1.39588,0.0010694,0.0010694,0.0010694
49,1171.71,1.40147,0.75804,1.19407,0.90644,0.84246,0.89664,0.46511,1.70528,0.84199,1.35882,0.0010496,0.0010496,0.0010496
50,1195.01,1.43902,0.75555,1.21329,0.9246,0.83696,0.90993,0.44459,1.80478,0.81737,1.43557,0.0010298,0.0010298,0.0010298
51,1218.45,1.37504,0.73801,1.2108,0.87209,0.88931,0.91873,0.47947,1.74748,0.79216,1.41211,0.00101,0.00101,0.00101
52,1240.45,1.38709,0.73428,1.1916,0.86733,0.83696,0.89589,0.44836,1.7419,0.83513,1.37473,0.0009902,0.0009902,0.0009902
53,1262.71,1.32184,0.72275,1.16513,0.94523,0.86957,0.91826,0.45354,1.91274,0.79953,1.47774,0.0009704,0.0009704,0.0009704
54,1285.27,1.33436,0.73196,1.15172,0.94028,0.8587,0.90036,0.46064,1.80632,0.81223,1.43871,0.0009506,0.0009506,0.0009506
55,1307.11,1.3556,0.72198,1.17879,0.95074,0.83696,0.92008,0.46749,1.86204,0.79814,1.54001,0.0009308,0.0009308,0.0009308
56,1331.08,1.35757,0.71935,1.17744,0.9078,0.85618,0.9142,0.44808,2.01296,0.85061,1.63601,0.000911,0.000911,0.000911
57,1352.12,1.32738,0.72862,1.19746,0.90969,0.87591,0.93871,0.45924,1.84248,0.80626,1.48466,0.0008912,0.0008912,0.0008912
58,1376.41,1.36667,0.73409,1.17861,0.91079,0.8878,0.92745,0.44862,1.84592,0.76352,1.48767,0.0008714,0.0008714,0.0008714
59,1397.92,1.31577,0.68433,1.16236,0.90815,0.85975,0.92535,0.4717,1.63745,0.74468,1.35648,0.0008516,0.0008516,0.0008516
60,1420.86,1.28385,0.68345,1.14304,0.90402,0.8587,0.93278,0.46098,1.79954,0.76305,1.42447,0.0008318,0.0008318,0.0008318
61,1442.18,1.30592,0.68588,1.13504,0.91587,0.84783,0.91832,0.42948,1.82873,0.77248,1.46885,0.000812,0.000812,0.000812
62,1463.76,1.26509,0.68046,1.14152,0.96098,0.80309,0.92264,0.46342,1.70557,0.83634,1.38624,0.0007922,0.0007922,0.0007922
63,1486.38,1.31852,0.69233,1.16667,0.87861,0.8654,0.91852,0.45845,1.82976,0.91589,1.50839,0.0007724,0.0007724,0.0007724
64,1510.51,1.29471,0.69075,1.14857,0.93403,0.8587,0.92423,0.46412,1.78857,0.81934,1.42931,0.0007526,0.0007526,0.0007526
65,1531.59,1.28132,0.67952,1.15679,1,0.83626,0.92678,0.47036,1.77803,0.76933,1.41797,0.0007328,0.0007328,0.0007328
66,1555.16,1.27274,0.66949,1.14365,0.94223,0.88646,0.9247,0.45776,1.75207,0.76024,1.4252,0.000713,0.000713,0.000713
67,1577.66,1.26359,0.67389,1.13718,0.9302,0.86917,0.93563,0.46756,1.82397,0.7484,1.49234,0.0006932,0.0006932,0.0006932
68,1600.87,1.21304,0.65073,1.10574,0.9169,0.83959,0.90577,0.46059,1.77981,0.82186,1.41228,0.0006734,0.0006734,0.0006734
69,1626.82,1.23348,0.65502,1.10427,0.90074,0.84783,0.90646,0.46265,1.76574,0.81213,1.39592,0.0006536,0.0006536,0.0006536
